Grid,xgrid,ygrid,T1_dS2S,T1_dS2S_Uncertainty,T1_Phi,T1_Phi_Uncertainty
1,138.304028,34.8040278,0.08987,0.9026,1.351,0.1403
2,138.345693,34.8040278,0.1122,0.8128,48.98,29.3
3,138.387358,34.8040278,0.09752,0.8219,50.25,28.77
4,138.429023,34.8040278,0.1321,0.8182,49.17,29.2
5,138.470688,34.8040278,0.1152,0.8314,51.59,28.08
6,138.512353,34.8040278,0.1066,0.8102,49.63,29.03
7,138.554018,34.8040278,0.1091,0.7984,50.6,29.66
8,138.595683,34.8040278,0.1037,0.7778,49.16,28.54
9,138.637348,34.8040278,0.07363,0.781,50.09,29.2
10,138.679013,34.8040278,0.04502,0.7866,49.54,28.8
11,138.720678,34.8040278,0.0597,0.7641,49.65,28.68
12,138.762343,34.8040278,0.1005,0.7382,51.26,28.93
13,138.804008,34.8040278,0.1462,0.7346,49.32,28.76
14,138.845673,34.8040278,0.1838,0.7517,50.09,29
15,138.887338,34.8040278,0.1724,0.7421,49.06,29.05
16,138.929003,34.8040278,0.1914,0.7384,51.18,28.07
17,138.970668,34.8040278,0.2066,0.748,48.73,29.1
18,139.012333,34.8040278,0.2028,0.7442,50.24,28.71
19,139.053998,34.8040278,0.2003,0.7356,50.6,28.49
20,139.095663,34.8040278,0.1878,0.7379,50.31,28.06
21,139.137328,34.8040278,0.1701,0.7419,50.22,28.86
22,139.178993,34.8040278,0.1898,0.7342,49.98,29.03
23,139.220658,34.8040278,0.2611,0.7089,50.07,28.43
24,139.262323,34.8040278,0.3441,0.7223,50.05,28.55
25,139.303988,34.8040278,0.4216,0.713,50.88,28.92
26,139.345653,34.8040278,0.4581,0.7163,50.04,29.06
27,139.387318,34.8040278,0.4822,0.7376,50.11,29.16
28,139.428983,34.8040278,0.5086,0.7198,51.92,29.38
29,139.470648,34.8040278,0.4717,0.7088,49.2,29.7
30,139.512313,34.8040278,0.4398,0.7158,50.77,28.59
31,139.553978,34.8040278,0.4422,0.7376,49.76,28.96
32,139.595643,34.8040278,0.4204,0.756,49.45,28.41
33,139.637308,34.8040278,0.3798,0.8048,49.03,28.78
34,139.678973,34.8040278,0.3492,0.7907,50.8,28.15
35,139.720638,34.8040278,0.3493,0.7851,48.97,28.88
36,139.762303,34.8040278,0.31,0.7839,51.66,28.17
37,139.803968,34.8040278,0.3214,0.7524,50.07,28.9
38,139.845633,34.8040278,0.3577,0.7479,50,29.42
39,139.887298,34.8040278,0.3992,0.7381,51.24,28.19
40,139.928963,34.8040278,0.422,0.7244,49.92,29.45
41,139.970628,34.8040278,0.4543,0.6987,50.8,28.67
42,140.012293,34.8040278,0.4444,0.7294,50.17,29.18
43,140.053958,34.8040278,0.4386,0.7195,49.68,29.82
44,140.095623,34.8040278,0.4544,0.6824,50.42,27.94
45,140.137288,34.8040278,0.4485,0.6396,49.14,28.83
46,140.178953,34.8040278,0.4331,0.6429,48.93,28.7
47,140.220618,34.8040278,0.4105,0.6743,49.91,28.61
48,140.262283,34.8040278,0.3898,0.7023,50.9,28.72
49,140.303948,34.8040278,0.3485,0.7128,49.15,28.51
50,140.345613,34.8040278,0.3019,0.7228,50.81,29.49
51,140.387278,34.8040278,0.2936,0.7445,50.39,28.12
52,140.428943,34.8040278,0.2989,0.7521,49.66,29.03
53,140.470608,34.8040278,0.3299,0.7582,51.92,28.81
54,140.512273,34.8040278,0.3803,0.7351,48.75,29.05
55,140.553938,34.8040278,0.3779,0.7321,49.8,28.81
56,140.595603,34.8040278,0.3713,0.7171,48.79,28.81
57,140.637268,34.8040278,0.3245,0.7243,49.7,28.37
58,140.678933,34.8040278,0.3042,0.7127,49.58,28.41
59,140.720598,34.8040278,0.2573,0.704,49.76,29.16
60,140.762263,34.8040278,0.2416,0.6962,48.48,30
61,140.803928,34.8040278,0.2565,0.6918,49.88,28.94
62,140.845593,34.8040278,0.2293,0.7051,50.41,28.85
63,140.887258,34.8040278,0.2171,0.7193,50.94,28.46
64,140.928923,34.8040278,0.1796,0.7393,50.89,28.87
65,140.970588,34.8040278,0.1203,0.8013,49.94,28.64
66,141.012253,34.8040278,0.1212,0.8473,50.73,29.25
67,141.053918,34.8040278,0.1214,0.9255,50.55,29.45
68,141.095583,34.8040278,0.09651,1.013,49.93,28.88
69,138.304028,34.8456928,0.07117,0.8287,50.99,28.43
70,138.345693,34.8456928,0.09839,0.7538,51.29,28.74
71,138.387358,34.8456928,0.06578,0.7567,49.2,28.34
72,138.429023,34.8456928,0.0786,0.7391,49.64,29
73,138.470688,34.8456928,0.07563,0.7759,50.29,29.46
74,138.512353,34.8456928,0.05097,0.7689,49.47,28.68
75,138.554018,34.8456928,0.05256,0.7599,50.29,29.35
76,138.595683,34.8456928,0.06725,0.723,49.01,29.02
77,138.637348,34.8456928,0.06467,0.7033,49.64,29.26
78,138.679013,34.8456928,0.02571,0.6951,50.06,29.03
79,138.720678,34.8456928,0.03007,0.7185,48.03,28.98
80,138.762343,34.8456928,0.06953,0.6932,49.71,29.15
81,138.804008,34.8456928,0.1313,0.678,50.07,29.59
82,138.845673,34.8456928,0.1587,0.6779,49.11,29.53
83,138.887338,34.8456928,0.152,0.685,50.96,29.26
84,138.929003,34.8456928,0.1852,0.7077,51.87,29.03
85,138.970668,34.8456928,0.1866,0.701,50.5,28.32
86,139.012333,34.8456928,0.1912,0.6955,48.59,28.87
87,139.053998,34.8456928,0.166,0.6869,51.32,29.38
88,139.095663,34.8456928,0.1744,0.6665,49.19,28.41
89,139.137328,34.8456928,0.1715,0.6512,49.92,28.38
90,139.178993,34.8456928,0.1916,0.6278,51.07,29.46
91,139.220658,34.8456928,0.2582,0.6088,51.14,29.19
92,139.262323,34.8456928,0.3532,0.6348,49.28,28.88
93,139.303988,34.8456928,0.4147,0.6335,48.9,28.89
94,139.345653,34.8456928,0.4652,0.6254,51.28,28.91
95,139.387318,34.8456928,0.4789,0.6441,48.59,28.75
96,139.428983,34.8456928,0.4925,0.626,50.08,28.76
97,139.470648,34.8456928,0.453,0.628,51.51,29.09
98,139.512313,34.8456928,0.4221,0.6509,50.29,28.93
99,139.553978,34.8456928,0.4139,0.6873,48.98,29.08
100,139.595643,34.8456928,0.3976,0.7237,51.02,29.1
101,139.637308,34.8456928,0.3702,0.7545,49.49,28.49
102,139.678973,34.8456928,0.347,0.7372,50.58,28.72
103,139.720638,34.8456928,0.3528,0.7143,50.02,28.88
104,139.762303,34.8456928,0.3323,0.7113,51.03,29.02
105,139.803968,34.8456928,0.3356,0.6898,48.7,28.55
106,139.845633,34.8456928,0.3557,0.6674,48.86,29.01
107,139.887298,34.8456928,0.3827,0.6583,50.25,28.59
108,139.928963,34.8456928,0.4111,0.6443,51.49,28.94
109,139.970628,34.8456928,0.4459,0.6394,50.56,28.94
110,140.012293,34.8456928,0.4361,0.6525,49.59,28.72
111,140.053958,34.8456928,0.4214,0.6445,50.54,28.62
112,140.095623,34.8456928,0.416,0.6046,50.16,28.76
113,140.137288,34.8456928,0.4385,0.5955,50.05,29.04
114,140.178953,34.8456928,0.4428,0.5835,49.36,28.9
115,140.220618,34.8456928,0.4154,0.6078,50.79,28.54
116,140.262283,34.8456928,0.4154,0.6262,49.19,28.58
117,140.303948,34.8456928,0.3702,0.6406,49.18,28.71
118,140.345613,34.8456928,0.3311,0.6225,50,29.23
119,140.387278,34.8456928,0.2895,0.6378,50.78,28.67
120,140.428943,34.8456928,0.2906,0.6432,49.23,29.16
121,140.470608,34.8456928,0.3368,0.6672,49.61,29.42
122,140.512273,34.8456928,0.3531,0.643,51.18,28.96
123,140.553938,34.8456928,0.3597,0.6624,50.06,28.55
124,140.595603,34.8456928,0.3638,0.6347,50.54,28.88
125,140.637268,34.8456928,0.3389,0.6567,49.34,28.67
126,140.678933,34.8456928,0.2916,0.6405,49.37,28.48
127,140.720598,34.8456928,0.2654,0.6353,48.76,28.57
128,140.762263,34.8456928,0.2493,0.6256,50.67,29.66
129,140.803928,34.8456928,0.2653,0.6271,51.82,29.12
130,140.845593,34.8456928,0.2525,0.6498,51.99,28.42
131,140.887258,34.8456928,0.2243,0.6587,50.28,28.78
132,140.928923,34.8456928,0.1787,0.7017,50.42,29.03
133,140.970588,34.8456928,0.129,0.7276,49.07,28.84
134,141.012253,34.8456928,0.1396,0.7624,49.47,28.18
135,141.053918,34.8456928,0.1146,0.8597,49.87,29.08
136,141.095583,34.8456928,0.09374,0.9348,50.62,28.36
137,138.304028,34.8873578,0.01807,0.8096,50.69,29.26
138,138.345693,34.8873578,0.02303,0.7403,48.44,28.42
139,138.387358,34.8873578,0.01409,0.7196,50.54,28.53
140,138.429023,34.8873578,0.02005,0.7012,49.1,29.69
141,138.470688,34.8873578,0.002806,0.7225,49.2,28.18
142,138.512353,34.8873578,0.02515,0.7242,48.98,28.56
143,138.554018,34.8873578,0.006056,0.7176,47.6,28.39
144,138.595683,34.8873578,0.0147,0.6941,48.22,28.85
145,138.637348,34.8873578,0.04663,0.7066,49.56,28.78
146,138.679013,34.8873578,0.03255,0.6909,50.75,28.9
147,138.720678,34.8873578,0.02985,0.7062,50.17,29.12
148,138.762343,34.8873578,0.05935,0.6731,49.32,28.87
149,138.804008,34.8873578,0.13,0.651,50.01,28.46
150,138.845673,34.8873578,0.1419,0.6572,50.32,29.05
151,138.887338,34.8873578,0.1088,0.6875,49.42,29.05
152,138.929003,34.8873578,0.1242,0.6849,49,28.57
153,138.970668,34.8873578,0.1553,0.6724,50.42,28.1
154,139.012333,34.8873578,0.1696,0.6596,50.39,28.95
155,139.053998,34.8873578,0.1658,0.6616,50.02,29.26
156,139.095663,34.8873578,0.1541,0.6418,51.72,29.01
157,139.137328,34.8873578,0.1545,0.608,48.68,28.52
158,139.178993,34.8873578,0.1683,0.5885,51.44,28.43
159,139.220658,34.8873578,0.2353,0.5724,50.61,28.37
160,139.262323,34.8873578,0.3182,0.5736,47.84,28.86
161,139.303988,34.8873578,0.3994,0.5808,49.77,28.79
162,139.345653,34.8873578,0.4388,0.5832,48.04,29.1
163,139.387318,34.8873578,0.4735,0.5887,48.92,27.81
164,139.428983,34.8873578,0.4823,0.5866,50.18,28.43
165,139.470648,34.8873578,0.462,0.5935,48.71,28.64
166,139.512313,34.8873578,0.4416,0.6165,49.42,28.67
167,139.553978,34.8873578,0.4065,0.6416,49.5,28.67
168,139.595643,34.8873578,0.3732,0.6839,51.26,28.37
169,139.637308,34.8873578,0.3454,0.7094,48.92,29.54
170,139.678973,34.8873578,0.3481,0.6986,50.74,28.75
171,139.720638,34.8873578,0.3514,0.6657,49.2,29.29
172,139.762303,34.8873578,0.3099,0.6457,48.57,29.39
173,139.803968,34.8873578,0.3179,0.6381,48.96,29.28
174,139.845633,34.8873578,0.3429,0.6032,51.01,28.53
175,139.887298,34.8873578,0.3842,0.5908,51.08,28.56
176,139.928963,34.8873578,0.3987,0.5883,50.68,28.81
177,139.970628,34.8873578,0.4386,0.6174,49.13,28.52
178,140.012293,34.8873578,0.4478,0.6336,49.04,29.48
179,140.053958,34.8873578,0.4186,0.619,50.4,29.61
180,140.095623,34.8873578,0.4054,0.5833,49.1,28.37
181,140.137288,34.8873578,0.4125,0.5578,49.69,28.72
182,140.178953,34.8873578,0.4107,0.5553,50.02,28.3
183,140.220618,34.8873578,0.3833,0.5773,50,28.97
184,140.262283,34.8873578,0.4066,0.5876,49.25,28.6
185,140.303948,34.8873578,0.4065,0.6019,50.8,28.96
186,140.345613,34.8873578,0.381,0.5956,51.3,28.59
187,140.387278,34.8873578,0.336,0.5852,50.57,28.73
188,140.428943,34.8873578,0.3255,0.5895,50.23,28.37
189,140.470608,34.8873578,0.3274,0.618,50.17,29.39
190,140.512273,34.8873578,0.3395,0.6205,48.55,28.56
191,140.553938,34.8873578,0.3691,0.6169,51.17,28.19
192,140.595603,34.8873578,0.3651,0.6161,50.46,28.77
193,140.637268,34.8873578,0.3397,0.5937,48.97,28.4
194,140.678933,34.8873578,0.316,0.6062,49.3,28.83
195,140.720598,34.8873578,0.2924,0.5955,48.48,28.95
196,140.762263,34.8873578,0.2879,0.6123,49.96,28.72
197,140.803928,34.8873578,0.2839,0.6052,49.18,28.48
198,140.845593,34.8873578,0.2223,0.6059,50.7,28.88
199,140.887258,34.8873578,0.1964,0.6491,51.1,28.65
200,140.928923,34.8873578,0.1726,0.6733,52.35,29.3
201,140.970588,34.8873578,0.1448,0.6972,51.23,29.57
202,141.012253,34.8873578,0.1422,0.7203,49.35,28.91
203,141.053918,34.8873578,0.1185,0.7759,47.92,28.28
204,141.095583,34.8873578,0.1068,0.8583,48.95,29.4
205,138.304028,34.9290228,0.005301,0.7777,50.36,28.51
206,138.345693,34.9290228,-0.004631,0.717,49.9,28.98
207,138.387358,34.9290228,-0.003245,0.7205,50.81,28.04
208,138.429023,34.9290228,-0.02274,0.6986,49.26,28.58
209,138.470688,34.9290228,-0.04614,0.7221,51.27,29.53
210,138.512353,34.9290228,-0.03101,0.7026,52.15,28.75
211,138.554018,34.9290228,-0.0514,0.701,51.98,28.82
212,138.595683,34.9290228,-0.0285,0.668,48.6,28.72
213,138.637348,34.9290228,0.006438,0.6906,48.55,28.75
214,138.679013,34.9290228,0.006364,0.6859,50.69,29.42
215,138.720678,34.9290228,0.01781,0.6865,50.65,28.6
216,138.762343,34.9290228,0.04106,0.6933,51.36,28.9
217,138.804008,34.9290228,0.0707,0.6581,50.06,29.07
218,138.845673,34.9290228,0.08215,0.6682,49.92,28.64
219,138.887338,34.9290228,0.04839,0.677,50.89,29.46
220,138.929003,34.9290228,0.04549,0.6695,48.47,29.14
221,138.970668,34.9290228,0.09073,0.6306,49.81,29.3
222,139.012333,34.9290228,0.1227,0.6335,49.92,29.6
223,139.053998,34.9290228,0.1487,0.6395,49.77,29.25
224,139.095663,34.9290228,0.1409,0.6254,49.7,28.97
225,139.137328,34.9290228,0.1438,0.5974,49.48,28.57
226,139.178993,34.9290228,0.1461,0.5577,50.24,28.71
227,139.220658,34.9290228,0.2086,0.5719,49.8,28.67
228,139.262323,34.9290228,0.2714,0.5515,50.85,29.22
229,139.303988,34.9290228,0.3288,0.5815,49.39,29.03
230,139.345653,34.9290228,0.3673,0.581,50.51,28.3
231,139.387318,34.9290228,0.4323,0.5981,50.41,29.15
232,139.428983,34.9290228,0.463,0.6088,50.47,28.9
233,139.470648,34.9290228,0.48,0.5999,51.2,29.56
234,139.512313,34.9290228,0.4652,0.6124,49.66,28.99
235,139.553978,34.9290228,0.4331,0.605,50.16,28.62
236,139.595643,34.9290228,0.3836,0.6669,50.48,29.25
237,139.637308,34.9290228,0.3584,0.6834,49.55,29.61
238,139.678973,34.9290228,0.3537,0.6467,48.92,28.58
239,139.720638,34.9290228,0.3575,0.6172,50.15,28.99
240,139.762303,34.9290228,0.3547,0.5801,49,29.55
241,139.803968,34.9290228,0.3179,0.5187,50.02,28.32
242,139.845633,34.9290228,0.3484,0.5624,50.4,28.81
243,139.887298,34.9290228,0.3968,0.5851,50.21,29.26
244,139.928963,34.9290228,0.4131,0.5788,49.65,29.38
245,139.970628,34.9290228,0.4245,0.5866,49.55,29.17
246,140.012293,34.9290228,0.4335,0.578,48.88,29.36
247,140.053958,34.9290228,0.389,0.5514,50.65,27.76
248,140.095623,34.9290228,0.3817,0.5534,50.21,28.92
249,140.137288,34.9290228,0.3834,0.5527,50.41,29.15
250,140.178953,34.9290228,0.3948,0.5595,49.84,29.4
251,140.220618,34.9290228,0.3999,0.5611,50.29,28.01
252,140.262283,34.9290228,0.3936,0.5482,48.86,29.77
253,140.303948,34.9290228,0.3782,0.5843,50.35,28.7
254,140.345613,34.9290228,0.3455,0.5783,50.72,29.28
255,140.387278,34.9290228,0.3471,0.5894,50.68,28.2
256,140.428943,34.9290228,0.3226,0.5634,48.08,28.83
257,140.470608,34.9290228,0.3025,0.5881,50.38,27.92
258,140.512273,34.9290228,0.3168,0.5926,48.24,28.95
259,140.553938,34.9290228,0.3299,0.5921,48.56,28.96
260,140.595603,34.9290228,0.3577,0.5693,47.99,28.92
261,140.637268,34.9290228,0.3623,0.5626,50.15,28.37
262,140.678933,34.9290228,0.3315,0.5908,50.01,28.51
263,140.720598,34.9290228,0.3217,0.5956,49.83,28.82
264,140.762263,34.9290228,0.2931,0.618,50.35,28.86
265,140.803928,34.9290228,0.2657,0.6149,49.53,28.32
266,140.845593,34.9290228,0.2289,0.6064,51.3,28.56
267,140.887258,34.9290228,0.2159,0.6209,50.73,28.53
268,140.928923,34.9290228,0.1739,0.634,49.7,29.17
269,140.970588,34.9290228,0.1516,0.6453,49.51,28.81
270,141.012253,34.9290228,0.1599,0.6821,51.13,28.76
271,141.053918,34.9290228,0.136,0.7433,50.31,28.22
272,141.095583,34.9290228,0.1256,0.8251,49.86,28.95
273,138.304028,34.9706878,-0.01047,0.7718,50.67,28.91
274,138.345693,34.9706878,-0.04726,0.7275,51.15,27.92
275,138.387358,34.9706878,-0.03765,0.7194,49.89,28.31
276,138.429023,34.9706878,-0.04648,0.7073,50.03,28.9
277,138.470688,34.9706878,-0.06605,0.7123,50.24,28.81
278,138.512353,34.9706878,-0.07348,0.6816,50.97,28.56
279,138.554018,34.9706878,-0.08134,0.6726,49.6,29.33
280,138.595683,34.9706878,-0.05938,0.6534,51.37,29.25
281,138.637348,34.9706878,-0.02207,0.6821,51.72,28.01
282,138.679013,34.9706878,-0.009139,0.702,50.36,29.05
283,138.720678,34.9706878,-7.05E-04,0.7004,48.97,28.57
284,138.762343,34.9706878,0.02275,0.6798,50.87,29.17
285,138.804008,34.9706878,0.04418,0.6762,49.43,28.92
286,138.845673,34.9706878,0.03794,0.6701,50.7,28.53
287,138.887338,34.9706878,0.0266,0.6608,50.2,28.75
288,138.929003,34.9706878,0.04942,0.6557,48.29,28.76
289,138.970668,34.9706878,0.06865,0.6219,50.04,28.09
290,139.012333,34.9706878,0.07845,0.64,50.21,28.81
291,139.053998,34.9706878,0.1222,0.6385,49.15,29.27
292,139.095663,34.9706878,0.1328,0.6017,50.32,29.32
293,139.137328,34.9706878,0.1587,0.5813,48.63,28.85
294,139.178993,34.9706878,0.1579,0.5622,50.64,28.82
295,139.220658,34.9706878,0.2079,0.5408,50.84,28.84
296,139.262323,34.9706878,0.2446,0.5393,50.95,28.89
297,139.303988,34.9706878,0.3033,0.5743,47.49,27.95
298,139.345653,34.9706878,0.3485,0.572,49.66,29.1
299,139.387318,34.9706878,0.3943,0.601,50.27,28.45
300,139.428983,34.9706878,0.4364,0.5943,50.3,29.21
301,139.470648,34.9706878,0.4553,0.6236,50.01,28.44
302,139.512313,34.9706878,0.4615,0.6387,49.19,29.14
303,139.553978,34.9706878,0.4293,0.6281,48.7,28.75
304,139.595643,34.9706878,0.4193,0.6606,51.02,28.66
305,139.637308,34.9706878,0.3827,0.6552,51.47,28.8
306,139.678973,34.9706878,0.3695,0.6182,50.56,28.97
307,139.720638,34.9706878,0.3899,0.5804,50.93,29.67
308,139.762303,34.9706878,0.3695,0.5112,49.97,28.51
309,139.803968,34.9706878,0.2328,0.1649,0.4378,0.1631
310,139.845633,34.9706878,0.364,0.4786,51.07,28.78
311,139.887298,34.9706878,0.4377,0.5326,50.61,28.28
312,139.928963,34.9706878,0.4555,0.5623,52.08,28.15
313,139.970628,34.9706878,0.4558,0.5792,48.86,28.61
314,140.012293,34.9706878,0.4429,0.5899,50.03,28.89
315,140.053958,34.9706878,0.372,0.565,49.71,29.33
316,140.095623,34.9706878,0.3526,0.5529,51.53,29.32
317,140.137288,34.9706878,0.3584,0.5312,49.59,28.4
318,140.178953,34.9706878,0.3752,0.5469,49,28.34
319,140.220618,34.9706878,0.3624,0.5384,49.42,29.13
320,140.262283,34.9706878,0.3585,0.5297,51.39,28.98
321,140.303948,34.9706878,0.3494,0.5588,50.7,29.13
322,140.345613,34.9706878,0.2972,0.5609,48.07,29.12
323,140.387278,34.9706878,0.2887,0.5574,49.72,28.23
324,140.428943,34.9706878,0.2908,0.5381,49.11,28.84
325,140.470608,34.9706878,0.3132,0.5505,49.65,29.02
326,140.512273,34.9706878,0.3143,0.5763,48.43,29.24
327,140.553938,34.9706878,0.324,0.5911,49.92,28.95
328,140.595603,34.9706878,0.3266,0.571,50.73,28.8
329,140.637268,34.9706878,0.3344,0.5845,50.44,28.66
330,140.678933,34.9706878,0.3185,0.6081,50.83,28.65
331,140.720598,34.9706878,0.3019,0.6122,51.54,29.01
332,140.762263,34.9706878,0.3031,0.5961,50.47,28.87
333,140.803928,34.9706878,0.2999,0.5947,50.39,29.1
334,140.845593,34.9706878,0.2265,0.5758,49.75,29.25
335,140.887258,34.9706878,0.2006,0.598,50.66,29.06
336,140.928923,34.9706878,0.1756,0.6145,49.01,28.81
337,140.970588,34.9706878,0.1547,0.6178,49.47,28.76
338,141.012253,34.9706878,0.168,0.6527,50.57,28.84
339,141.053918,34.9706878,0.1417,0.7136,49.2,28.96
340,141.095583,34.9706878,0.1191,0.8003,48.81,28.88
341,138.304028,35.0123528,-0.07292,0.7767,50.58,28.99
342,138.345693,35.0123528,-0.07963,0.7259,50.09,28.62
343,138.387358,35.0123528,-0.07251,0.729,51.03,29.34
344,138.429023,35.0123528,-0.09123,0.7287,50.18,29.64
345,138.470688,35.0123528,-0.1032,0.6935,49.84,28.45
346,138.512353,35.0123528,-0.1116,0.6696,50.07,29.18
347,138.554018,35.0123528,-0.1091,0.6658,49.56,28.54
348,138.595683,35.0123528,-0.09242,0.6727,49.69,29.33
349,138.637348,35.0123528,-0.04156,0.6656,49.47,29.12
350,138.679013,35.0123528,-0.01924,0.6919,48.3,28.9
351,138.720678,35.0123528,-0.01175,0.6839,50.45,28.68
352,138.762343,35.0123528,-0.01209,0.6753,50.82,28.77
353,138.804008,35.0123528,-0.005322,0.6745,51.84,28.39
354,138.845673,35.0123528,0.02113,0.6689,50.23,28.17
355,138.887338,35.0123528,0.007738,0.6669,49.85,29.44
356,138.929003,35.0123528,0.02737,0.6869,49.9,28.42
357,138.970668,35.0123528,0.0436,0.6334,49.96,29.13
358,139.012333,35.0123528,0.05086,0.629,51.03,29.1
359,139.053998,35.0123528,0.08101,0.6189,49.12,28.61
360,139.095663,35.0123528,0.0721,0.5948,50.15,29.65
361,139.137328,35.0123528,0.1355,0.5856,49.76,28.8
362,139.178993,35.0123528,0.1561,0.5611,49.43,28.84
363,139.220658,35.0123528,0.1876,0.5428,50.15,28.8
364,139.262323,35.0123528,0.1968,0.5509,50.25,28.77
365,139.303988,35.0123528,0.2546,0.5863,50.02,28.65
366,139.345653,35.0123528,0.3213,0.558,49.63,28.86
367,139.387318,35.0123528,0.3948,0.567,50.03,28.64
368,139.428983,35.0123528,0.4235,0.5707,50.81,28.69
369,139.470648,35.0123528,0.4374,0.6138,49.36,29.16
370,139.512313,35.0123528,0.4328,0.6339,49.72,28.82
371,139.553978,35.0123528,0.4333,0.6086,49.7,28.13
372,139.595643,35.0123528,0.4201,0.644,50.26,29.13
373,139.637308,35.0123528,0.3947,0.6268,49.22,28.3
374,139.678973,35.0123528,0.4008,0.5778,49.65,28.76
375,139.720638,35.0123528,0.4327,0.5433,51.12,28.56
376,139.762303,35.0123528,0.4238,0.5021,50.87,29.19
377,139.803968,35.0123528,0.4036,0.4977,50.94,28.89
378,139.845633,35.0123528,0.4604,0.5202,49.77,29.67
379,139.887298,35.0123528,0.5051,0.5371,48.06,28.68
380,139.928963,35.0123528,0.4798,0.5485,50.16,28.55
381,139.970628,35.0123528,0.503,0.5685,49.09,28.6
382,140.012293,35.0123528,0.4468,0.5564,49.76,29.47
383,140.053958,35.0123528,0.3801,0.5343,50.81,29.09
384,140.095623,35.0123528,0.3402,0.514,50.07,28.34
385,140.137288,35.0123528,0.3514,0.4913,49.64,28.83
386,140.178953,35.0123528,0.3541,0.5069,50.02,28.97
387,140.220618,35.0123528,0.3596,0.4989,49.04,28.88
388,140.262283,35.0123528,0.3649,0.4999,51.13,28.42
389,140.303948,35.0123528,0.3188,0.5293,50.66,29.33
390,140.345613,35.0123528,0.2422,0.5377,49.88,29
391,140.387278,35.0123528,0.2442,0.5578,48.71,29.13
392,140.428943,35.0123528,0.2451,0.5377,49.54,29.05
393,140.470608,35.0123528,0.2912,0.5622,49.69,28.88
394,140.512273,35.0123528,0.3107,0.5911,49.21,29.16
395,140.553938,35.0123528,0.3107,0.5878,49.13,28.46
396,140.595603,35.0123528,0.3045,0.5962,52.75,28.66
397,140.637268,35.0123528,0.3091,0.5993,50.33,27.85
398,140.678933,35.0123528,0.3131,0.6006,50.06,29.6
399,140.720598,35.0123528,0.2784,0.6123,49.17,28.85
400,140.762263,35.0123528,0.2998,0.5994,50.39,29.29
401,140.803928,35.0123528,0.2939,0.6131,50.82,29.51
402,140.845593,35.0123528,0.2604,0.5911,49.56,28.64
403,140.887258,35.0123528,0.2131,0.5895,50.12,29.13
404,140.928923,35.0123528,0.1955,0.5863,50.06,28.69
405,140.970588,35.0123528,0.1726,0.5908,51.17,28.89
406,141.012253,35.0123528,0.1917,0.612,48.77,29.15
407,141.053918,35.0123528,0.1689,0.6615,49.62,28.69
408,141.095583,35.0123528,0.15,0.7481,50.83,28.66
409,138.304028,35.0540178,-0.1281,0.7859,50.64,29.12
410,138.345693,35.0540178,-0.1107,0.7488,50.4,28.38
411,138.387358,35.0540178,-0.1081,0.7732,50.68,28.62
412,138.429023,35.0540178,-0.1169,0.744,50.08,29.51
413,138.470688,35.0540178,-0.1357,0.701,52.23,28.79
414,138.512353,35.0540178,-0.1236,0.6693,49.7,28.62
415,138.554018,35.0540178,-0.1409,0.6768,50.41,28.94
416,138.595683,35.0540178,-0.1141,0.7041,48.3,29.29
417,138.637348,35.0540178,-0.06449,0.6906,50.02,28.71
418,138.679013,35.0540178,-0.02853,0.6662,50.8,28.77
419,138.720678,35.0540178,-0.02456,0.6569,48.99,29.48
420,138.762343,35.0540178,-0.03505,0.6787,49.88,29.32
421,138.804008,35.0540178,-0.04323,0.6576,49.3,28.76
422,138.845673,35.0540178,-0.01545,0.6451,50.3,29.16
423,138.887338,35.0540178,-0.02763,0.6637,50.06,28.66
424,138.929003,35.0540178,-0.04651,0.6872,49.41,29.36
425,138.970668,35.0540178,-0.01516,0.6572,50.23,29.02
426,139.012333,35.0540178,0.0334,0.6494,50.42,29.23
427,139.053998,35.0540178,0.05559,0.6298,49.67,28.85
428,139.095663,35.0540178,0.07567,0.5973,51.09,28.51
429,139.137328,35.0540178,0.114,0.6111,51.18,28.66
430,139.178993,35.0540178,0.143,0.5938,49.94,29.05
431,139.220658,35.0540178,0.173,0.5919,49.07,29.09
432,139.262323,35.0540178,0.2177,0.6003,50.08,28.65
433,139.303988,35.0540178,0.2548,0.5778,48.9,28.23
434,139.345653,35.0540178,0.3133,0.5514,49.65,28.89
435,139.387318,35.0540178,0.3559,0.577,50.8,28.31
436,139.428983,35.0540178,0.3892,0.5915,50.25,28.08
437,139.470648,35.0540178,0.4237,0.6025,49,28.72
438,139.512313,35.0540178,0.4234,0.6122,50.45,29.55
439,139.553978,35.0540178,0.4217,0.6115,50.12,29.27
440,139.595643,35.0540178,0.4032,0.5951,50.62,29.27
441,139.637308,35.0540178,0.4088,0.5861,50.75,28.04
442,139.678973,35.0540178,0.4101,0.5619,51.6,29.29
443,139.720638,35.0540178,0.4395,0.5415,49.69,29.3
444,139.762303,35.0540178,0.4437,0.5282,50.19,28.59
445,139.803968,35.0540178,0.4691,0.5047,49.8,28.77
446,139.845633,35.0540178,0.5192,0.5106,50.41,28.18
447,139.887298,35.0540178,0.5571,0.516,50.96,28.7
448,139.928963,35.0540178,0.55,0.5198,49.72,28.91
449,139.970628,35.0540178,0.5699,0.522,50.95,28.46
450,140.012293,35.0540178,0.496,0.5389,50.3,28.84
451,140.053958,35.0540178,0.3695,0.4972,48.44,28.62
